ℹ️ 22:13:02 | BTC-USDT-SWAP | tf=15m | TA=33.2 ML=46.4 News=50.0 Risk=45.8 | Final=41.8 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 8/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:13:03 | BTC-USDT-SWAP | tf=15m | TA=33.2 ML=10.7 News=50.0 Risk=45.8 | Final=32.8 (D) | Dir=short | Gate=PASS (persist 7/5, conf 7/0.0, age 8/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:13:04 | ETH-USDT-SWAP | tf=15m | TA=29.5 ML=20.0 News=50.0 Risk=45.8 | Final=33.7 (D) | Dir=short | Gate=PASS (persist 6/5, conf 6/0.0, age 8/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:13:05 | ETH-USDT-SWAP | tf=15m | TA=29.5 ML=22.2 News=50.0 Risk=45.8 | Final=34.2 (D) | Dir=short | Gate=PASS (persist 6/5, conf 6/0.0, age 8/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:13:06 | SOL-USDT-SWAP | tf=15m | TA=32.3 ML=88.7 News=50.0 Risk=47.2 | Final=52.2 (D) | Dir=flat | Gate=PASS (persist 7/5, conf 7/0.0, age 8/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:13:07 | SOL-USDT-SWAP | tf=15m | TA=32.3 ML=88.7 News=50.0 Risk=47.2 | Final=52.2 (D) | Dir=flat | Gate=PASS (persist 7/5, conf 7/0.0, age 8/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:14:02 | BTC-USDT-SWAP | tf=15m | TA=33.2 ML=51.6 News=50.0 Risk=45.8 | Final=43.1 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 9/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:14:02 | BTC-USDT-SWAP | tf=15m | TA=33.2 ML=46.4 News=50.0 Risk=45.8 | Final=41.8 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 9/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:14:04 | ETH-USDT-SWAP | tf=15m | TA=29.5 ML=20.0 News=50.0 Risk=45.8 | Final=33.7 (D) | Dir=short | Gate=PASS (persist 7/5, conf 7/0.0, age 9/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:14:04 | ETH-USDT-SWAP | tf=15m | TA=29.5 ML=20.0 News=50.0 Risk=45.8 | Final=33.7 (D) | Dir=short | Gate=PASS (persist 7/5, conf 7/0.0, age 9/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:14:06 | SOL-USDT-SWAP | tf=15m | TA=32.5 ML=89.6 News=50.0 Risk=47.2 | Final=52.5 (D) | Dir=flat | Gate=PASS (persist 8/5, conf 8/0.0, age 9/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
