UID:548615070318948634,Account Type:Main
id,Order id,Time,Trade Type,Symbol,Action,Amount,Trading Unit,Filled Price,PnL,Fee,Fee Unit,Position Change,Position Balance,Balance Change,Balance,Balance Unit
3138491416543485953,3138491416509931520,2025-12-18 08:45:33,Swap,XRP-USDT-SWAP,Sell,0.76,cont,1.83820000,0.00000000,-0.06985160,USDT,0.00000000,0.00000000,-0.06985160,470.24548646,USDT
3138481583819841536,3138481583786287104,2025-12-18 08:40:39,Swap,XRP-USDT-SWAP,Buy,0.13,cont,1.83750000,0.26130000,-0.01194375,USDT,0.00000000,0.00000000,0.24935625,469.41381931,USDT
3138481583819841538,3138481583786287104,2025-12-18 08:40:39,Swap,XRP-USDT-SWAP,Buy,0.46,cont,1.83750000,0.92460000,-0.04226250,USDT,0.00000000,0.00000000,0.88233750,470.31533806,USDT
3138481583819841537,3138481583786287104,2025-12-18 08:40:39,Swap,XRP-USDT-SWAP,Buy,0.01,cont,1.83750000,0.02010000,-0.00091875,USDT,0.00000000,0.00000000,0.01918125,469.43300056,USDT
3138480039309336576,3138480039242227712,2025-12-18 08:39:53,Swap,NEAR-USDT-SWAP,Buy,1,cont,1.45800000,0.15000000,-0.00729000,USDT,0.00000000,0.00000000,0.14271000,469.16446306,USDT
3138278919546855446,0,2025-12-18 07:00:00,Swap,MINA-USDT-SWAP,Funding fee expense,10617,cont,0.07750000,-0.04114088,0.00000000,USDT,-0.04114088,132.38980449,0.00000000,469.02175306,USDT
3137795785990594650,0,2025-12-18 03:00:01,Swap,SUI-USDT-SWAP,Funding fee income,83,cont,1.42250000,0.00168508,0.00000000,USDT,0.00000000,0.00000000,0.00168508,469.02175306,USDT
3137795783138467912,0,2025-12-18 03:00:01,Swap,XRP-USDT-SWAP,Funding fee expense,0.6,cont,1.86120000,-0.01549244,0.00000000,USDT,0.00000000,0.00000000,-0.01549243,469.02006797,USDT
3137795758241079396,0,2025-12-18 03:00:00,Swap,SOL-USDT-SWAP,Funding fee expense,1.02,cont,123.17000000,-0.01302707,0.00000000,USDT,0.00000000,0.00000000,-0.01302707,469.03556041,USDT
3137795754248101906,0,2025-12-18 03:00:00,Swap,NEAR-USDT-SWAP,Funding fee expense,7,cont,1.47900000,-0.01220234,0.00000000,USDT,0.00000000,0.00000000,-0.01220234,469.04858748,USDT
3137795753442795544,0,2025-12-18 03:00:00,Swap,ETH-USDT-SWAP,Funding fee expense,0.47,cont,2831.76000000,-0.00730812,0.00000000,USDT,0.00000000,0.00000000,-0.00730811,469.06078981,USDT
